phase,shard,slice,num_samples,acc,f1,train_loss,wall_clock,gpu_mem_gb
deletion,2,0,745,0.3598,0.32522945054723584,1.5425282681548356,14.764003992080688,0.02165699005126953
deletion,2,1,742,0.445,0.4308113153999868,1.3174565901974784,14.338662385940552,0.021622180938720703
deletion,2,2,745,0.4976,0.4801816335642878,1.1673532959598822,14.437441349029541,0.02165699005126953
deletion,3,0,739,0.3534,0.32965358271349054,1.5188130988803703,14.308321714401245,0.021587848663330078
deletion,3,1,741,0.4278,0.4002059748551452,1.2199376120097563,14.380891799926758,0.021610736846923828
deletion,3,2,742,0.4676,0.4542205979864151,1.2029726155042006,14.340392351150513,0.021622180938720703
deletion,4,0,742,0.3698,0.34615637572134045,1.5120883739862159,14.35326886177063,0.021622180938720703
deletion,4,1,742,0.4324,0.4114899505683184,1.276887227904122,14.390495538711548,0.021622180938720703
deletion,4,2,746,0.4552,0.43815392123243957,1.087125579409561,14.426979541778564,0.021668434143066406
deletion,5,0,744,0.361,0.3356777997049295,1.557236740666051,14.323522329330444,0.021645545959472656
deletion,5,1,746,0.409,0.3782310089775932,1.2345523444321456,14.38197135925293,0.021668434143066406
deletion,5,2,746,0.4522,0.43563061472875925,1.2205557343787226,14.432573080062866,0.021668434143066406
deletion,6,0,745,0.3626,0.3490323750692128,1.5732249778389131,14.408889532089233,0.02165699005126953
deletion,6,1,744,0.4,0.3797325242123396,1.3131323796446606,14.51348066329956,0.021645545959472656
deletion,6,2,745,0.4744,0.44995239684548205,1.189991538476624,14.385274887084961,0.02165699005126953
deletion,7,0,745,0.3536,0.3395372238049922,1.5594794811018362,14.350801229476929,0.02165699005126953
deletion,7,1,743,0.4162,0.389354060124552,1.414219244010997,14.358453750610352,0.02163410186767578
deletion,7,2,744,0.4502,0.431506409124103,1.187276772273484,14.35746717453003,0.021645545959472656
deletion,8,0,742,0.3554,0.31703105881514837,1.528597904344132,14.361381769180298,0.021622180938720703
deletion,8,1,743,0.4244,0.4017536129297563,1.2661555978202563,14.408074140548706,0.02163410186767578
deletion,8,2,742,0.4774,0.45799197820253457,1.1741397429026683,15.230096578598022,0.021622180938720703
deletion,9,0,741,0.3472,0.3003569855605278,1.5634959160718518,14.38188362121582,0.021610736846923828
deletion,9,1,743,0.424,0.4044352514495625,1.3383794450182291,14.373681783676147,0.02163410186767578
deletion,9,2,740,0.482,0.46104131657336556,1.0855204620876828,14.36823320388794,0.021599292755126953
deletion,10,0,744,0.3546,0.3353128950949582,1.5306803218780025,14.474182844161987,0.021645545959472656
deletion,10,1,739,0.4378,0.42211931344424547,1.3255581137937202,14.497458219528198,0.021587848663330078
deletion,10,2,742,0.4924,0.48379915577316435,1.0355213189703434,14.47192931175232,0.021622180938720703
deletion,11,0,743,0.3568,0.3247727840006788,1.4998332144915656,14.858582496643066,0.02163410186767578
deletion,11,1,745,0.4362,0.4140313246500491,1.3009624742021497,14.449702262878418,0.02165699005126953
deletion,11,2,744,0.4706,0.4528950043932272,1.1119999167739705,14.455272436141968,0.021645545959472656
deletion,12,0,743,0.372,0.3557140182223754,1.4885314449487432,14.516326665878296,0.02163410186767578
deletion,12,1,743,0.4422,0.43018747842342764,1.2799658425563438,14.46714997291565,0.02163410186767578
deletion,12,2,747,0.4854,0.4692650640565791,1.129727596738731,14.478297472000122,0.02167987823486328
deletion,13,0,745,0.377,0.3522810134084692,1.4702488508800533,14.474579572677612,0.02165699005126953
deletion,13,1,745,0.449,0.4177047471559582,1.1916172107594125,14.451761960983276,0.02165699005126953
deletion,13,2,745,0.4812,0.4583307798727269,1.1269632166664072,14.434873580932617,0.02165699005126953
deletion,14,0,741,0.3264,0.2864484981359672,1.4990710473736288,14.800807476043701,0.021610736846923828
deletion,14,1,741,0.4142,0.3990279086038727,1.300222751421806,21.02561593055725,0.021610736846923828
deletion,14,2,737,0.4978,0.4754853535203674,1.165920204352815,15.059866666793823,0.021564960479736328
deletion,15,0,744,0.33,0.3056524705301923,1.5376821282089397,14.41338562965393,0.021645545959472656
deletion,15,1,742,0.4014,0.3896754720192505,1.2521470920094904,14.56559443473816,0.021622180938720703
deletion,15,2,739,0.4796,0.4676315436674818,1.0977967504880748,14.55811357498169,0.021587848663330078
deletion,16,0,743,0.3362,0.2906014154377403,1.5006499306510628,14.430667161941528,0.02163410186767578
